Unnamed: 0,letter_index,letter,frequency,identity
0,1,A,8.167,Suspect 2
1,2,B,1.492,Suspect 2
2,3,C,2.782,Suspect 2
3,4,D,4.253,Suspect 2
4,5,E,12.702,Suspect 2
5,6,F,2.228,Suspect 2
6,7,G,2.015,Suspect 2
7,8,H,6.0939999999999985,Suspect 2
8,9,I,6.966,Suspect 2
9,10,J,0.153,Suspect 2
10,11,K,0.772,Suspect 2
11,12,L,4.025,Suspect 2
12,13,M,2.406,Suspect 2
13,14,N,6.749,Suspect 2
14,15,O,7.5070000000000014,Suspect 2
15,16,P,1.929,Suspect 2
16,17,Q,0.095,Suspect 2
17,18,R,5.987,Suspect 2
18,19,S,6.327000000000001,Suspect 2
19,20,T,9.056,Suspect 2
20,21,U,2.758,Suspect 2
21,22,V,0.978,Suspect 2
22,23,W,2.36,Suspect 2
23,24,X,0.15,Suspect 2
24,25,Y,1.974,Suspect 2
25,26,Z,0.07400000000000001,Suspect 2
